category,product_description,review_date,review_rating,review_title,review_text,verified_purchase,sentiment,length,similarity,deviation,label
Personal Care,Dove Men+Care Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/1/2019,5,Dove Men’s + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True,0.5707,45,0.018913674702076336,0.45454545454545414,Genuine
Foods,Marmite  Spread Yeast Extract 500g,1/2/2019,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True,0.8803,36,0.008671420385735174,0.17647058823529438,Genuine
Foods,Marmite  Spread Yeast Extract 500g,1/2/2019,4,Vitamin B12.,Excellent,True,0.5719,1,0.012677403850626727,0.8235294117647056,Fake
Foods,Knorr  Beef Stock Pot 8 x 28g,1/2/2019,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,True,0.7096,10,0.014303112883291696,0.0,Genuine
Homecare,Cif Citrus Bathroom Mousse 500ml,1/2/2019,5,Very handy,Does what is says it does,False,0.0,6,0.015969574510773032,0.0,Fake
Foods,Marmite  Spread Yeast Extract 500g,1/2/2019,4,Vitamin B12.,Excellent,True,0.5719,1,0.012677403850626727,0.8235294117647056,Fake
Foods,Marmite  Spread Yeast Extract 500g,1/2/2019,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True,0.8803,36,0.008671420385735174,0.17647058823529438,Genuine
Foods,Knorr  Beef Stock Pot 8 x 28g,1/2/2019,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,True,0.7096,10,0.014303112883291696,0.0,Genuine
Personal Care,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,1/5/2019,4,nearly 5 star,Excellent item.Good for men,False,0.5719,4,0.02334643333785651,0.2857142857142856,Fake
Foods,Knorr  Chicken Stock Pot 8 x 28g,1/6/2019,5,Good,Thank you I’m very happy,True,0.7574,7,0.011157297532670146,1.3333333333333335,Fake
Foods,Knorr  Rich Beef Stock Pot 8 x 28g,1/6/2019,5,Good,Thank you I’m very happy,True,0.7574,7,0.011157297532670146,1.6,Fake
Personal Care,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,1/7/2019,5,Deodorant,Beautiful,True,0.5994,1,0.002634381507526655,1.2857142857142856,Fake
Personal Care,Tresemme Moisture Rich Conditioner 900ml,1/9/2019,5,Repeat purchase,Always buy. Big bottles,True,0.0,5,0.017377639161129377,0.0,Fake
Homecare,Cif Citrus Bathroom Mousse 500ml,1/2/2019,5,Very handy,Does what is says it does,False,0.0,6,0.015969574510773032,0.0,Fake
Personal Care,Tresemme Silky Smooth Conditioner 900ml,1/2/2019,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,True,0.0,16,0.021984602869022,0.0,Genuine
Homecare,Domestos  Original Bleach 750ml,1/12/2019,5,Recommend,Great value,True,0.7579,2,0.0609742067784455,0.0,Fake
Personal Care,Tresemme Silky Smooth Conditioner 900ml,1/2/2019,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,True,0.0,16,0.021984602869022,0.0,Genuine
Personal Care,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,1/13/2019,5,Happy,"It’s not the one in the picture, but gets 5 stars because it’s the regular one I use and it’s awesome for people with dry skin.",True,0.7684,34,0.016611090762894378,0.0,Genuine
Personal Care,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,1/11/2019,5,Really works,"Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",True,0.743,17,0.022017321484129843,0.515625,Genuine
Personal Care,Dove  Gentle Exfoliating Body wash 250ml,1/14/2019,5,Lovely,Good body wash but not a very strong smell,True,-0.4457,9,0.03988535351655142,0.0,Fake
Personal Care,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,1/16/2019,5,Toiletries,Great,True,0.6249,1,0.052848503523712655,0.0,Fake
Personal Care,Dove  Gentle Exfoliating Body wash 250ml,1/16/2019,5,Toiletries,Great,True,0.6249,1,0.052848503523712655,0.0,Fake
Refreshment,PG tips  Original Tea Bags 240,1/19/2019,5,More for your money!,Worth it!,True,0.2942,3,0.007892019219298572,1.4285714285714284,Fake
Personal Care,Badedas  Original Bath 750ml,1/20/2019,5,Superb,I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.,False,0.0772,27,0.013361237582596459,0.0,Fake
Homecare,Comfort  Blue Skies Fabric Conditioner 114 Wash 4L,1/3/2019,5,Great,Great,True,0.6249,1,0.052848503523712655,0.666666666666667,Fake
Personal Care,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,1/22/2019,3,Pay a little more for a better antiperspirant,Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.,True,-0.2187,20,0.0073935001542705815,0.7142857142857144,Genuine
Personal Care,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,1/22/2019,5,Smells lovely,Love this product,True,0.6369,3,0.04474510242743529,1.2857142857142856,Fake
Refreshment,Magnum Almond Ice Cream 4 x 100ml,1/22/2019,5,Addicted,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,False,-0.1639,17,0.005380929410439424,0.0,Fake
Personal Care,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,1/25/2019,5,Beautifully Moisturising,"I love this range of body lotions as they aren\u2019t greasy, are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised. Great value for money and the scent is fresh and light, a great go to beauty essential in my bathroom cupboard. [This review was collected as part of a promotion.]",False,0.9818,65,0.04436905474150853,0.515625,Fake
